fname,dialogue,summary,topic
train_7368_ss,"#Person2#: 안녕, 어떻게 지내?
#Person1#: 음, 뭐 그냥 그럭저럭... 좀 그렇긴 해.
#Person2#: 그래, 엄마가 Daniel이 요즘 좀 안 좋다고 하더라. 무슨 일이야?
#Person1#: 음, 왜 그랬는지 모르겠는데, 아이들 키우는 게 이렇게 힘들 줄은 몰랐어.
#Person2#: 맞아, 그 마음 이해해. 무슨 문제가 있어?
#Person1#: 거의 6달 동안 애가 정말 우울해 보이고, 가끔 아침에 학교 가라고 깨우지도 못해. 너무 우울해 보이는데, 도대체 왜 그런지 모르겠어.
#Person2#: 6개월 동안 그런 거야?
#Person1#: 응, 주기적으로 그런 것 같아, 근데 어떻게 해야 할지 모르겠어. 그냥 스스로 괜찮아질 줄 알았어.
#Person2#: 아, 그게 좀 걱정이 많겠다. 나도 Jared이랑 안 어울리는 걸 좀 느꼈었는데. 그럼, 깨어 있을 땐 뭐해?
#Person1#: 음, 뭐, 대부분 깨어 있지 않아. 그냥 침대에 있기나 하고. [정말?] 아직도 이해가 안 가. 모르겠어.
#Person2#: 네, 그건 큰 문제야. 걔에 대해서 걱정할 만하구나. 심리 상담사나 심리학자, 누구한테라도 데려가 볼 생각했어?
#Person1#: 아, 아니. 그냥 일시적인 건가 싶어서. 학교에서 왕따를 당한다고 하긴 했는데, 이제 그런 얘기는 안 하더라고. 아마 끝난 것 같아.
#Person2#: 그러면 그때 왕따 같은 거 당했다는 거야?
#Person1#: 맞아, 그렇긴 해. 많이 얘기하진 않았어. 그냥 문제 좀 있었던 거라 생각했어.
#Person2#: 근데 그게 왕따 때문인지 아닌지는 모르겠고, 근데 이게 꽤 오랫동안 계속됐잖아. 진지하게 다뤄야 해.
#Person1#: 잘 모르겠어. 아, 그리고 여자친구가 최근에 헤어졌는데 아마 그게 그 아이에게 영향을 준 것 같아.
#Person2#: 그래, 그게 좀 설명해주는 것 같네. 근데, 그의 페이스북 본 적 있어? [뭐?] 뭔가 올렸더라, 어젯밤 자정쯤이었는데, 인생이 얼마나 힘든지, 사라지고 싶다는 얘기를 했어. [오!] 정확한 말은 기억 안 나는데, 정말 걱정됐어. 쓴 내용 중 어떤 것들은 자살 생각하는 묘사 같았어.
#Person1#: 아, 그게 난 도저히 납득이 안 돼. 애들이 가끔 그런 얘기 하잖아. 나도 그렇게 생각했어.
#Person2#: 맞아, 애들이 가끔 그래. 그래서 힘든 거야. 가끔 정말 심각하게 고민하는 애들도 있고, 정말로 자살하는 애들도 있어. 이건 정말 진지하게 다뤄야 해. 6개월 동안 그런 건 정상 아니야. 단순한 시기가 아니야. 무슨 일이 있는 거야.
#Person1#: 뭐 아이디어 좀 있을까? 뭐 해야 할지 모르겠어. 도저히 감이 안 와.
#Person2#: 글쎄, 며칠 전에 다른 엄마랑 딸 얘기하다가 들었는데 위기 상담 전화번호들도 있고, 병원이나 응급실에 가서 심리 평가도 받을 수 있어. [알았어.] 애가 학교도 못 가는데 병원에 데려가기도 어려울 수 있지만, 진지하게 다뤄야 해. [응...] 병원 응급실로 데려가는 것도...
#Person1#: 모르겠어.
#Person2#: 알잖아, 중요한 건 이 상황을 통제하는 거야. 그 애는 너를 필요로 해; 너가 정말로 사랑한다는 걸 알게 해야 해. 이걸 무시하는 게 아냐.
#Person1#: 며칠 전에 보니까 팔에 자국이 있더라고, 뭔진 몰랐는데. 물어보긴 했어. 좀 긁힌 자국 같았는데...
#Person2#: 나도 봤어, 근데 그게 긁힌 건 아니야. 너무 깊어. 그 애가 자해도 하고 있어.
#Person1#: 아, 진짜.
#Person2#: 알지, 이런 건 진짜 심각한 문제야. 그 애는 도움을 구하고 있어. 지금 상황을 어떻게 다뤄야 하는지 모르는 것 같아.
#Person1#: 한 달 전에도 학교에서 다른 남자애가 자기네 나이쯤인데 자살했었는데, 그게 그 애한테 영향을 줬을까도 싶어.
#Person2#: 그럴 거라고 생각 안 해?
#Person1#: 아마도. 그 애하고 얼마나 친했는지 모르겠어.
#Person2#: 음, 그런 일은 애들한테 영향 줘. 병원에 데려가느라 화낼 수도 있지만 네가 그 애를 돕고, 필요한 모든 도움을 받게 해야 해. 이건 정말 진지한 문제야, 나중에 후회하지 않도록 행동해야 해.
#Person1#: 그래. 음, 정보 보내 줄래? 내가 좀 알아볼게.
#Person2#: 알았어, 고마워. 남자: 고마워.",#Person1#가 #Person2#에게 아이 Daniel이 6개월 동안 우울해하며 가끔 학교도 못 가는 상황이라고 말합니다. #Person1#는 Daniel이 왕따를 당한 것 같다고 의심합니다. #Person2#은 Daniel의 페이스북 게시물이 자살 징후일 수 있다고 말하며 심각하게 받아들이라고 조언합니다. #Person1#는 최근 학교의 다른 아이 자살 사건이 Daniel에게 영향을 줬을 수 있다고 말합니다. #Person2#은 #Person1#에게 Daniel을 도와주고 필요한 모든 도움을 받을 수 있도록 해야 한다고 충고합니다.,청소년 우울증
train_3819_ss,"#Person2#: 남성용 시계 좀 볼 수 있을까요?
#Person1#: 물론이죠. 이 시계 한번 보시겠어요?
#Person2#: 이 시계는 어떤 기능이 있나요?
#Person1#: 이 시계는 발광 기능이 있고 시간 알림도 해줘요.
#Person2#: 방수는 되나요?
#Person1#: 네, 방수 기능도 있고 전 세계 보증서도 제공돼요.
#Person2#: 그럼 이걸로 할게요. 시계 정리 좀 해주세요.","#Person2#은 발광 및 시간 알림 기능이 있는 남성용 시계를 구매하기로 결정하고, #Person1#는 방수 기능 및 보증서 제공에 대해 설명합니다.",시계 구매
train_7444_ss,"#Person2#: 참... 엉망이었던 1분기를 다루었으니, 에드! 좋은 소식 좀 줘봐. 이번 달 매출은 어떻게 되어 가고 있어?
#Person1#: 음... 그게... 나쁜 소식부터 들을래, 아니면 정말 나쁜 소식부터 들을래?
#Person2#: 뭐라고? 에드, 설마 나쁜 소식밖에 없는 건 아니겠지!
#Person1#: 아, 예, 사장님. 지난 한 달 동안 매출이 50%나 떨어졌습니다. 현재 재고 과다에 직원도 너무 많고, 수익도 빠르게 줄고 있어요. 시장이 불황이고, 재고를 처리할 방법도 직원들을 줄일 방법도 없어요. 감축을 고려하면 배상 패키지 규정 때문에 엄청난 비용이 들 겁니다. 정말 엉망입니다.
#Person2#: 정말 답답하네... 돈은 얼마나 빨리 빠져나가고 있어?
#Person1#: 음... 이 속도로 가면, 세 달 안에 챕터 11을 신청해야 할 것 같아요.
#Person2#: 뭐라고! 창피하네! 어떻게 이런 일이? 그래서 나쁜 소식은?
#Person1#: 아, 그게 정말 나쁜 소식이에요. 저희 공급처가 QC 문제를 겪어서요, 생산된 것 중 반이 불량입니다. 지난 분기에 판매된 모든 물건을 리콜해야 할 상황이에요. 최악은, 비용을 우리가 전부 떠안아야 한다는 거죠.
#Person2#: 농담이지? 당장 공급업체에 전화해! 이 상황에 대한 비용은 그들이 책임져야 해!
#Person1#: 그렇게 해봤지만, 사장님. 공장이 망했고, 사장은 이미 해외로 도망갔다고 합니다.
#Person2#: 우리는 끝이네!
#Person1#: 하지만 정말 좋은 소식도 하나 있어요!
#Person2#: 정말? 뭔데?
#Person1#: 새 일자리 제안을 받았어요.","에드는 #Person2#에게 회사의 매출이 지난달에 50% 급락했고, 재고 과다와 과도한 직원 수 문제로 어려움을 겪고 있다고 설명한다. 공급처가 품질 관리 문제로 생산된 제품의 절반이 불량이라 리콜 비용을 회사가 부담해야 한다. #Person2#은 절망하지만, 에드는 새 일자리 제안을 받아 기뻐한다.",회사의 위기
train_8157_ss,"#Person2#: 어디에 주차하는 게 제일 좋을까?
#Person1#: 학교에 어떤 차로 다녀? 자동차야, 오토바이야?
#Person2#: 오토바이 타고 다녀.
#Person1#: 그럼 학생 주차장이나 길가에 주차할 수 있어. 장애인 주차 구역 봤어?
#Person2#: 장애인 주차 구역이 뭐야?
#Person1#: 파란 표지판이랑 파란 선으로 표시된 곳이야. 보통 낮에 주차해? 밤에 해?
#Person2#: 낮에도 밤에도 주차해.
#Person1#: 거리에는 시간 제한이 있으니까 조심해야 해. 시간 제한 표지판 본 적 있어?
#Person2#: 무슨 표지판?
#Person1#: 표지판 잘 보면 얼마나 오래 주차할 수 있는지, 어떤 날에 주차 가능한지 알 수 있어. 경계석 색깔은 알아?
#Person2#: 경계석 색깔은 뭔데?
#Person1#: 빨간색은 절대 주차하면 안 되고, 흰색은 짐을 실을 때만 주차할 수 있다고 기억해.","#Person1#는 #Person2#에게 오토바이를 학생 주차장이나 길가에 주차할 수 있으며, 시간 제한 표지판과 경계석 색깔에 주의해야 한다고 설명합니다.",주차 규칙 안내
train_5783_ss,"#Person2#: 와줘서 고마워요.
#Person1#: 제 일이에요. 무엇을 도와드릴까요?
#Person2#: 제 아파트에서 파이프가 터진 것 같아요.
#Person1#: 어느 방의 파이프인가요?
#Person2#: 제 욕실에 있는 파이프예요.
#Person1#: 언제부터 파이프가 새기 시작했나요?
#Person2#: 며칠 전부터 새고 있어요.
#Person1#: 그 파이프를 고치려면 벽을 뜯어야 해요.
#Person2#: 이해해요.
#Person1#: 괜찮으세요?
#Person2#: 그냥 문제가 해결되길 바라는 거예요.
#Person1#: 좋아요. 원하시면 지금 바로 시작하겠습니다.",#Person2#의 욕실에서 파이프가 터져 #Person1#가 수리하러 왔습니다.,파이프 파열
train_8179_ss,"#Person2#: IBA Consumer Credit에 오신 걸 환영합니다. 무엇을 도와드릴까요?
#Person1#: 우리 가족이 정말 차가 필요해요. 시내 중심가에서 꽤 멀리 살다 보니 한 번에 큰 돈을 지불할 여유는 없어요.
#Person2#: 요즘 많은 젊은 가족들이 겪고 있는 문제죠. 그래서 저희가 새로 시작한 제도가 있어요. 바로 개인 자동차 소비자 대출입니다.
#Person1#: 좋네요. 제가 조건에 맞을지 모르겠어요! 더 자세히 설명해 주시겠어요? 차는 어디서든 살 수 있나요?
#Person2#: 저희는 보통 고객님께 적합한 자동차 딜러를 찾아드립니다. 가족용 차가 필요하시다면 이미 계약이 되어 있는 아주 신뢰할 수 있는 딜러가 있습니다.
#Person1#: 그럼 그 딜러에게 가서 어떤 차가 있는지 보고 결정을 내릴 수 있나요?
#Person2#: 네. 원하는 차와 구매 가격이 정해지면 대출 절차를 시작할 수 있습니다. 물론 적절한 서류를 제공하셔야 합니다.
#Person1#: 어떤 서류가 필요하죠?
#Person2#: 정확히 작성된 신청서, 신분증, 거주 증명서, 소득 증명서, 대리인의 동의서와 물론 20%의 계약금이 필요합니다.
#Person1#: 괜찮네요. 딜러의 이름과 주소를 알려주시면 지금 바로 가보겠습니다.","#Person1#는 차를 사고 싶지만 자금이 부족합니다. #Person2#은 #Person1#에게 개인 자동차 소비자 대출을 소개합니다. #Person2#은 #Person1#에게 적합한 자동차 딜러를 찾아주고, #Person1#가 적절한 서류를 제공할 경우 대출 절차를 진행할 것이라고 말합니다. #Person1#는 대출을 시도하기로 결정합니다.",자동차 대출 신청
train_5055_ss,"#Person2#: 남부에는 매년 홍수가 나. 이건 신의 뜻이겠지.
#Person1#: 정말 그렇게 생각해?
#Person2#: 그래, 다른 의견 있어?
#Person1#: 어떤 면에서는 신의 뜻일 수도 있겠지만, 우리 때문이기도 한 것 같아.
#Person2#: 예를 들면?
#Person1#: 우리가 환경을 신경 안 쓰고, 나무를 베고 공기를 오염시켰잖아.
#Person2#: 아, 그렇구나. 그래도 다행히 정부가 그런 일을 막으려고 조치를 취했어.","#Person2#은 홍수를 신의 뜻이라 여기고, #Person1#은 인류의 잘못이라고 봅니다.",홍수와 환경 문제
train_8518_ss,"#Person2#: 은퇴할 날이 기다려져요. 
#Person1#: 그다음엔 뭐 하실 건가요? 
#Person2#: 플로리다로 이사 갈 거예요. 거기서 매일 골프를 치면서 살 거예요! 
#Person1#: 그건 저한테는 좀 지루할 것 같은데요. 
#Person2#: 은퇴 후에 뭐 할 계획이에요? 
#Person1#: 저는 뭔가 새로운 걸 해보려 해요. 전부터 선생님이 되고 싶었거든요. 
#Person2#: 당신의 에너지가 존경스럽네요, Ruth. 마음만은 젊어요.",#Person2#과 #Person1#는 은퇴 후 계획을 나눕니다. #Person2#은 플로리다로 이사해서 골프를 칠 계획이고 #Person1#는 선생님이 되고자 합니다.,은퇴 후 계획
train_12401_ss,"#Person2#: Sandy, 잠깐 시간 있어? 
#Person1#: 응, John. 나 지금 쉬는 중이야. 무슨 일이야? 
#Person2#: 별일 없어. 그냥 네가 어떻게 지내는지 궁금해서. 결혼 생활은 어때? 
#Person1#: 좋아, 근데 시어머니만 빼면! 때때로 내가 남편 대신 그분이랑 결혼한 것 같아! 너는 어때?",Sandy는 John에게 시어머니를 제외하고 결혼 생활이 좋다고 말합니다.,결혼 생활
train_1941_ss,"#Person2#: 문제라도 있어요?
#Person1#: 비서가 괴롭힘을 당하고 있다고 생각하는 것 같아요.
#Person2#: 뭐라구요? 농담이죠?
#Person1#: 저도 그러고 싶지만, 정말 심각해요. 지난주에 저녁 식사 초대를 했었죠.
#Person2#: 물론이에요. 일을 잘 해낸 보상으로요. 저희는 한 달에 한 번 가장 성과가 좋은 직원을 저녁에 초대하거든요.
#Person1#: 그 자체로는 문제가 없지만, 그녀는 당신이 그걸 거절했을 때 화를 내고 동기가 개인적이라고 생각한 것 같아요.
#Person2#: 제 의도를 잘못 이해한 것 같네요. 이제 어떻게 해야 할까요?
#Person1#: 우리 회사의 괴롭힘 방지 정책에 따라 인사팀과 미스 브라운과의 회의를 해야 해요. 꽤 심각한 상황입니다. 만약 괴롭힘의 증거가 발견되면 경고를 받거나 해고될 수 있어요.
#Person2#: 이해합니다. 하지만 이번 일을 철저히 조사해서 미스 브라운이 제 반응을 오해했다는 것을 보여줬으면 해요.
#Person1#: 회의의 목적이 바로 그거예요. 때로는 중재 대화로 상황이 해결될 수 있고, 간단한 논의와 사과로도 문제를 잠재울 수 있어요.","#Person1#가 #Person2#에게 #Person2#의 비서인 미스 브라운이 괴롭힘을 당하고 있다고 생각한다고 말합니다. #Person2#은 미스 브라운이 자신의 의도를 잘못 이해한 것이라며, 이번 일이 철저히 조사되길 원합니다. #Person1#는 이 문제를 해결하기 위해 인사팀과의 회의가 필요하다고 설명합니다.",직장 내 괴롭힘
train_3676_ss,"#Person2#: 실례합니다. 쇼핑몰로 가는 길 아세요? 
#Person1#: 물론이죠, 저 거기서 일한 적 있어요. 약 1마일 정도 똑바로 가신 후, 신호등에서 좌회전하세요. 쇼핑몰은 오른쪽에 있을 거예요. 
#Person2#: 주소 아세요? 
#Person1#: 네, 주소는 #Address#이에요. 
#Person2#: 적어주실 수 있나요? 
#Person1#: 문제없어요. 
#Person2#: 하일랜드 애비뉴로 가면 더 빠르나요? 
#Person1#: 아니요, 그쪽은 더 길어요. 그 길에는 신호등이 더 많아요. 
#Person2#: 맞는 것 같네요. 고마워요.",#Person1#가 #Person2#에게 쇼핑몰로 가는 효율적인 길을 안내하고 주소도 제공합니다.,길 안내
train_2959_ss,"#Person2#: 여보세요?
#Person1#: 안녕하세요, Stella. Peter예요.
#Person2#: 아, Peter! 목소리 들으니 반가워! 어떻게 지내?
#Person1#: 아주 좋아. 이번 여름에 가족과 함께 Memphis로 여행 계획 중이야.
#Person2#: 좋네! 여기서 한번 보고 싶어. 언제 오는 거야?
#Person1#: 6월 20일에 Boston을 떠나서 일주일 동안 Missouri, St. Louis에 머무르고 그 후에 너희 도시로 갈 거야. 너희와는 5일 정도 있을 계획이고, 두 주간의 휴가라 다시 돌아올 거야.
#Person2#: 여기서 특별히 하고 싶은 거 있어?
#Person1#: Beale Street에서 블루스 음악 즐기고 싶어. 엘비스 프레슬리를 기리는 Graceland도 가보고 싶어. 하지만 무엇보다도 너와 네 가족과 시간 보내고 싶어.
#Person2#: 물론이지! 마지막으로 만난 지 오래됐잖아. 우리 정원에서 저녁 파티하자.
#Person1#: 좋지! 아, 혹시 네 집 근처 호텔 좀 알아봐 줄 수 있어? 크진 않아도 되고, 소음이 없는 곳이면 좋겠어.
#Person2#: 알았어.
#Person1#: 고마워. 곧 보자.","Peter는 Stella에게 전화하여 여름에 Memphis로 방문할 계획을 전하고, Stella는 그를 위한 숙소를 찾아주기로 한다.",친구의 방문 계획
train_1786_ss,"#Person2#: 가득 채워주세요. 
#Person1#: 프리미엄이나 일반 어떤 걸로 할까요, 손님? 
#Person2#: 프리미엄요. 그리고 타이어도 확인해 주시겠어요? 공기가 부족한 것 같아요. 
#Person1#: 알겠습니다, 손님. 예비 타이어도 공기 확인할까요? 
#Person2#: 그럴 필요는 없어요. 새 거예요. 
#Person1#: 유리창도 닦아드릴까요? 
#Person2#: 네, 부탁해요. 그리고 오일과 라디에이터도 좀 확인해 주세요. 
#Person1#: 네, 손님. 괜찮습니다. 라디에이터에 물이 거의 없네요. 위험합니다, 손님. 더위 때문에 고장 날 수도 있어요. 
#Person2#: 그럼 물 좀 채워주세요. 
#Person1#: 알겠습니다, 손님. 
#Person2#: 카드 받으세요? 
#Person1#: 아니요, 받지 않습니다. 죄송합니다. 총 30달러 10센트입니다. 
#Person2#: 30달러 10센트요? 여기 있어요. 
#Person1#: 감사합니다, 손님. 안전 운전 하세요!","#Person2#은 #Person1#에게 프리미엄 가스를 가득 채우고 타이어, 오일, 라디에이터를 점검해 달라고 요청합니다. #Person1#는 라디에이터에 물을 채우고, #Person2#은 현금으로 결제합니다.",차량 정비
train_4191_ss,"#Person2#: 안녕하세요. 시내에 있는 침실 하나짜리 아파트를 찾고 있어요.
#Person1#: 네, 손님. 월세는 얼마 정도를 생각하고 계세요?
#Person2#: 음, 한 달에 520달러 이상은 내고 싶지 않아요.
#Person1#: 520달러요? 그렇게 저렴한 아파트는 잘 없긴 하지만, 세븐스 애비뉴에 한 달에 599달러짜리 아파트가 하나 있어요. 역 근처입니다.
#Person2#: 가구는 있나요?
#Person1#: 아니요, 가구는 없습니다. 주방은 있지만 오븐은 없어요. 뒤에 정원이 있긴 한데, 세입자는 사용할 수 없습니다. 집주인이 아래층에 사시고, 친구는 자정 이후에 아파트에 올 수 없으며, 11시 이후에는 소음이나 TV는 안 됩니다.
#Person2#: 아니요, 괜찮습니다! 저는 아파트를 원하지, 감옥을 원하는 게 아니에요.",#Person2#은 예산이 낮은 아파트를 찾고 있습니다. #Person1#는 규칙이 많은 아파트를 추천했지만 #Person2#은 거절했습니다.,아파트 추천
train_11042_ss,"#Person2#: 발렌타인데이에 대해 좀 얘기해줘. 
#Person1#: 그래, 그날은 보통 남자들이 여자친구에게 장미를 주고, 여자들은 초콜릿을 선물해. 
#Person2#: 정말 로맨틱하네. 젊은 사람들한테 정말 재미있겠어. 
#Person1#: 맞아, 그 날은 정말 인기 많잖아, 그렇지?",#Person1#가 #Person2#에게 발렌타인데이 관습에 대해 설명한다.,발렌타인데이 관습
train_3245_ss,"#Person2#: 오늘 날씨 어때요?
#Person1#: 아주 춥고 비가 와요.
#Person2#: 이곳의 겨울은 매년 이런가요?
#Person1#: 거의 그래요. 하지만 작년엔 조금 더 추웠어요.
#Person2#: 왜 여기 사람들이 두꺼운 옷을 입는지 이제 알겠네요.
#Person1#: 당신 나라의 겨울 날씨는 어떤가요?
#Person2#: 우리 고향은 당신과 달라요. 일 년 내내 따뜻하고 더운 편이에요.
#Person1#: 그러면 당신은 정말 운이 좋네요.
#Person2#: 그래도 제 나라 사람들 중 일부는 당신 나라의 날씨를 원해요.","#Person1#의 나라의 겨울은 춥지만, #Person2#의 나라는 일 년 내내 따뜻하다.",겨울 날씨
